Date,Month,Day,Year,Location,Birds
9/1/2023,9,1,2023,Allen Center,0
9/1/2023,9,1,2023,KGH-E,0
9/1/2023,9,1,2023,KGH-N,0
9/1/2023,9,1,2023,KGH-S,0
9/1/2023,9,1,2023,KGH-W,0
9/1/2023,9,1,2023,Mudd Library,0
9/1/2023,9,1,2023,RAC-E,0
9/1/2023,9,1,2023,RAC-N,0
9/1/2023,9,1,2023,RAC-S,0
9/1/2023,9,1,2023,RAC-W,0
9/2/2023,9,2,2023,Allen Center,0
9/2/2023,9,2,2023,KGH-E,0
9/2/2023,9,2,2023,KGH-N,0
9/2/2023,9,2,2023,KGH-S,0
9/2/2023,9,2,2023,KGH-W,0
9/2/2023,9,2,2023,Mudd Library,2
9/2/2023,9,2,2023,Mudd Library,0
9/2/2023,9,2,2023,RAC-E,0
9/2/2023,9,2,2023,RAC-N,0
9/2/2023,9,2,2023,RAC-S,0
9/2/2023,9,2,2023,RAC-W,0
9/3/2023,9,3,2023,Allen Center,0
9/3/2023,9,3,2023,KGH-E,0
9/3/2023,9,3,2023,KGH-N,0
9/3/2023,9,3,2023,KGH-S,2
9/3/2023,9,3,2023,KGH-S,0
9/3/2023,9,3,2023,KGH-W,0
9/3/2023,9,3,2023,Mudd Library,0
9/3/2023,9,3,2023,RAC-E,0
9/3/2023,9,3,2023,RAC-N,0
9/3/2023,9,3,2023,RAC-S,0
9/3/2023,9,3,2023,RAC-W,0
9/4/2023,9,4,2023,Allen Center,0
9/4/2023,9,4,2023,KGH-E,0
9/4/2023,9,4,2023,KGH-N,0
9/4/2023,9,4,2023,KGH-S,0
9/4/2023,9,4,2023,KGH-W,0
9/4/2023,9,4,2023,Mudd Library,0
9/4/2023,9,4,2023,RAC-E,0
9/4/2023,9,4,2023,RAC-N,0
9/4/2023,9,4,2023,RAC-S,0
9/4/2023,9,4,2023,RAC-W,0
9/5/2023,9,5,2023,Allen Center,0
9/5/2023,9,5,2023,KGH-E,0
9/5/2023,9,5,2023,KGH-N,0
9/5/2023,9,5,2023,KGH-S,0
9/5/2023,9,5,2023,KGH-W,0
9/5/2023,9,5,2023,Mudd Library,0
9/5/2023,9,5,2023,RAC-E,1
9/5/2023,9,5,2023,RAC-E,0
9/5/2023,9,5,2023,RAC-N,0
9/5/2023,9,5,2023,RAC-S,0
9/5/2023,9,5,2023,RAC-W,0
9/6/2023,9,6,2023,Allen Center,0
9/6/2023,9,6,2023,KGH-E,0
9/6/2023,9,6,2023,KGH-N,0
9/6/2023,9,6,2023,KGH-S,0
9/6/2023,9,6,2023,KGH-W,2
9/6/2023,9,6,2023,KGH-W,0
9/6/2023,9,6,2023,Mudd Library,2
9/6/2023,9,6,2023,Mudd Library,0
9/6/2023,9,6,2023,RAC-E,0
9/6/2023,9,6,2023,RAC-N,0
9/6/2023,9,6,2023,RAC-S,0
9/6/2023,9,6,2023,RAC-W,0
9/7/2023,9,7,2023,Allen Center,0
9/7/2023,9,7,2023,KGH-E,0
9/7/2023,9,7,2023,KGH-N,0
9/7/2023,9,7,2023,KGH-S,0
9/7/2023,9,7,2023,KGH-W,0
9/7/2023,9,7,2023,Mudd Library,0
9/7/2023,9,7,2023,RAC-E,0
9/7/2023,9,7,2023,RAC-N,0
9/7/2023,9,7,2023,RAC-S,0
9/7/2023,9,7,2023,RAC-W,0
9/8/2023,9,8,2023,Allen Center,0
9/8/2023,9,8,2023,KGH-E,2
9/8/2023,9,8,2023,KGH-E,0
9/8/2023,9,8,2023,KGH-N,0
9/8/2023,9,8,2023,KGH-S,2
9/8/2023,9,8,2023,KGH-S,0
9/8/2023,9,8,2023,KGH-W,0
9/8/2023,9,8,2023,Mudd Library,4
9/8/2023,9,8,2023,Mudd Library,0
9/8/2023,9,8,2023,RAC-E,0
9/8/2023,9,8,2023,RAC-N,5
9/8/2023,9,8,2023,RAC-N,0
9/8/2023,9,8,2023,RAC-S,0
9/8/2023,9,8,2023,RAC-W,0
9/9/2023,9,9,2023,Allen Center,0
9/9/2023,9,9,2023,KGH-E,0
9/9/2023,9,9,2023,KGH-N,0
9/9/2023,9,9,2023,KGH-S,0
9/9/2023,9,9,2023,KGH-W,0
9/9/2023,9,9,2023,Mudd Library,0
9/9/2023,9,9,2023,RAC-E,0
9/9/2023,9,9,2023,RAC-N,0
9/9/2023,9,9,2023,RAC-S,0
9/9/2023,9,9,2023,RAC-W,0
9/10/2023,9,10,2023,Allen Center,0
9/10/2023,9,10,2023,KGH-E,2
9/10/2023,9,10,2023,KGH-E,0
9/10/2023,9,10,2023,KGH-N,0
9/10/2023,9,10,2023,KGH-S,0
9/10/2023,9,10,2023,KGH-W,0
9/10/2023,9,10,2023,Mudd Library,0
9/10/2023,9,10,2023,RAC-E,0
9/10/2023,9,10,2023,RAC-N,0
9/10/2023,9,10,2023,RAC-S,0
9/10/2023,9,10,2023,RAC-W,0
9/11/2023,9,11,2023,Allen Center,0
9/11/2023,9,11,2023,KGH-E,0
9/11/2023,9,11,2023,KGH-N,0
9/11/2023,9,11,2023,KGH-S,0
9/11/2023,9,11,2023,KGH-W,0
9/11/2023,9,11,2023,Mudd Library,0
9/11/2023,9,11,2023,RAC-E,0
9/11/2023,9,11,2023,RAC-N,0
9/11/2023,9,11,2023,RAC-S,0
9/11/2023,9,11,2023,RAC-W,0
9/12/2023,9,12,2023,Allen Center,0
9/12/2023,9,12,2023,KGH-E,2
9/12/2023,9,12,2023,KGH-E,0
9/12/2023,9,12,2023,KGH-N,0
9/12/2023,9,12,2023,KGH-S,2
